"","country","R0","time","measure","none","incomplete"
"1",1,3,1,"lower",0,0
"2",1,3,2,"lower",0,0
"3",1,3,3,"lower",0,0
"4",1,3,4,"lower",0,0
"5",1,3,5,"lower",0,0
"6",1,3,6,"lower",0,0
"7",1,3,7,"lower",0,0
"8",1,3,8,"lower",0,0
"9",1,3,9,"lower",0,0
"10",1,3,10,"lower",0,0
"11",1,3,11,"lower",0,0
"12",1,3,12,"lower",0,0
"13",1,3,13,"lower",0,0
"14",1,3,14,"lower",0,0
"15",1,3,15,"lower",0,0
"16",1,3,16,"lower",0,0
"17",1,3,17,"lower",0,0
"18",1,3,18,"lower",0,0
"19",1,3,19,"lower",0,0
"20",1,3,20,"lower",0,0
"21",1,3,21,"lower",0,0
"22",1,3,22,"lower",0,0
"23",1,3,23,"lower",0,0
"24",1,3,24,"lower",0,0
"25",1,3,25,"lower",0,0
"26",1,3,26,"lower",0,0
"27",1,3,27,"lower",0,0
"28",1,3,28,"lower",0,0
"29",1,3,29,"lower",0,0
"30",1,3,30,"lower",0,0
"31",1,3,31,"lower",0,0
"32",1,3,32,"lower",0,0
"33",1,3,33,"lower",0,0
"34",1,3,34,"lower",0,0.475
"35",1,3,35,"lower",0.475,1
"36",1,3,36,"lower",1,2
"37",1,3,37,"lower",1,2
"38",1,3,38,"lower",2,2
"39",1,3,39,"lower",2.475,2
"40",1,3,40,"lower",3,3
"41",1,3,41,"lower",4.475,4.475
"42",1,3,42,"lower",5.475,7
"43",1,3,43,"lower",6.95,9
"44",1,3,44,"lower",9.425,12.475
"45",1,3,45,"lower",11.475,15.475
"46",1,3,46,"lower",15.95,19.475
"47",1,3,47,"lower",19,25
"48",1,3,48,"lower",23.95,32
"49",1,3,49,"lower",30,38.475
"50",1,3,50,"lower",37.475,46
"51",1,3,51,"lower",40.95,54.475
"52",1,3,52,"lower",49.95,64
"53",1,3,53,"lower",61.375,74.475
"54",1,3,54,"lower",70.475,94.95
"55",1,3,55,"lower",88.9,113.425
"56",1,3,56,"lower",111.225,148
"57",1,3,57,"lower",141.85,182.475
"58",1,3,58,"lower",180.425,218.425
"59",1,3,59,"lower",224.425,267.75
"60",1,3,60,"lower",275.9,324.8
"61",1,3,61,"lower",341.425,397.125
"62",1,3,62,"lower",409.375,482.25
"63",1,3,63,"lower",493.3,587.025
"64",1,3,64,"lower",603.7,716.05
"65",1,3,65,"lower",731.125,870.35
"66",1,3,66,"lower",883.9,1058.2
"67",1,3,67,"lower",1068.975,1277.725
"68",1,3,68,"lower",1307.125,1548.325
"69",1,3,69,"lower",1576.475,1882.95
"70",1,3,70,"lower",1883.75,2278.95
"71",1,3,71,"lower",2290,2699.2
"72",1,3,72,"lower",2780.25,3106.025
"73",1,3,73,"lower",3343.225,3460.425
"74",1,3,74,"lower",4013.775,3733.275
"75",1,3,75,"lower",4763.725,3954.625
"76",1,3,76,"lower",5616.125,4058.3
"77",1,3,77,"lower",6653.825,4054.175
"78",1,3,78,"lower",7778.8,3917.75
"79",1,3,79,"lower",9091.375,3743.5
"80",1,3,80,"lower",10449.575,3520.55
"81",1,3,81,"lower",11990.325,3296.55
"82",1,3,82,"lower",13519.3,3096.825
"83",1,3,83,"lower",15172.375,2877.3
"84",1,3,84,"lower",16874.45,2697.025
"85",1,3,85,"lower",18460.35,2548.225
"86",1,3,86,"lower",19855.9,2425.525
"87",1,3,87,"lower",20966.125,2290.95
"88",1,3,88,"lower",20685.325,2159.075
"89",1,3,89,"lower",19555.275,2061.975
"90",1,3,90,"lower",18111.4,1939.55
"91",1,3,91,"lower",16519.825,1826.975
"92",1,3,92,"lower",14853.075,1737.775
"93",1,3,93,"lower",13152.675,1665.1
"94",1,3,94,"lower",11613.3,1560.075
"95",1,3,95,"lower",10111.775,1438.25
"96",1,3,96,"lower",8762.9,1349.45
"97",1,3,97,"lower",7489.625,1259.85
"98",1,3,98,"lower",6368.625,1182.8
"99",1,3,99,"lower",5381.6,1127.475
"100",1,3,100,"lower",4516.975,1053.775
"101",1,3,101,"lower",3797.55,993.225
"102",1,3,102,"lower",3167.85,936.55
"103",1,3,103,"lower",2658.575,891.55
"104",1,3,104,"lower",2193.7,836.9
"105",1,3,105,"lower",1835.775,765.45
"106",1,3,106,"lower",1507.6,704.375
"107",1,3,107,"lower",1248.175,652.5
"108",1,3,108,"lower",1034.95,604.275
"109",1,3,109,"lower",841.9,553.325
"110",1,3,110,"lower",688.075,501.375
"111",1,3,111,"lower",558.6,452.45
"112",1,3,112,"lower",457.025,407.95
"113",1,3,113,"lower",379.375,370.8
"114",1,3,114,"lower",307.475,348.325
"115",1,3,115,"lower",255.425,323.275
"116",1,3,116,"lower",209.95,296.9
"117",1,3,117,"lower",174.95,274.475
"118",1,3,118,"lower",143.425,251
"119",1,3,119,"lower",113.425,229.9
"120",1,3,120,"lower",95.95,214
"121",1,3,121,"lower",72.95,192
"122",1,3,122,"lower",61.325,173.475
"123",1,3,123,"lower",48.9,164.475
"124",1,3,124,"lower",40.95,148.425
"125",1,3,125,"lower",32.95,133.425
"126",1,3,126,"lower",26.95,119.85
"127",1,3,127,"lower",20.475,109.425
"128",1,3,128,"lower",15,96.425
"129",1,3,129,"lower",12.475,90.95
"130",1,3,130,"lower",9.95,81.95
"131",1,3,131,"lower",8,75
"132",1,3,132,"lower",6,71.95
"133",1,3,133,"lower",5,64.9
"134",1,3,134,"lower",3,61.95
"135",1,3,135,"lower",2.475,55.475
"136",1,3,136,"lower",2,51
"137",1,3,137,"lower",0.475,40.95
"138",1,3,138,"lower",0.475,35
"139",1,3,139,"lower",1,31.475
"140",1,3,140,"lower",0,31
"141",1,3,141,"lower",0,29
"142",1,3,142,"lower",0,26.425
"143",1,3,143,"lower",0,23.95
"144",1,3,144,"lower",0,21.95
