Country_or_region,GDP2018,Income,region,income_group,Matrix,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_85,pop_85_90,pop_90_95,pop_95_100,pop_100+
Afghanistan,1955.006208,LIC,South Asia,Low income,14,5672.509,5416.223,5192.114,4629.445,3926.485,3109.386,2478.259,2056.387,1658.723,1304.736,1032.359,807.839,612.638,444.858,312.451,168.004,75.605,24.46,5.192,0.629,0.039
Albania,13364.1554,UMIC,Europe & Central Asia,Upper middle income,7,166.278,167.554,162.181,199.597,228.356,244.323,223.924,166.849,152.51,170.509,184.185,201.906,186.459,143.783,108.132,86.536,53.876,23.388,6.627,0.776,0.051
Algeria,15481.78762,UMIC,Middle East & North Africa,Upper middle income,12,5041.518,4635.972,3821.402,2910.345,2999.837,3573.878,3727.719,3547.516,3014.029,2434.59,2061.884,1738.172,1387.342,1143.2,723.938,513.896,343.627,171.049,51.37,8.796,0.963
Angola,6452.355165,LMIC,Sub-Saharan Africa,Lower middle income,15,5795.004,5104.164,4349.261,3532.518,2882.566,2423.471,2040.757,1658.972,1330.695,1082.04,787.212,677.39,481.968,303.929,212.513,119.216,59.937,19.878,4.259,0.48,0.038
Antigua and Barbuda,26868.13352,HIC,Latin America & Caribbean,High income,13,7.355,7.228,6.814,7.053,7.579,7.315,7.066,7.028,6.916,6.944,6.799,6.033,4.658,3.385,2.501,1.6,0.923,0.51,0.182,0.035,0.004
Argentina,20610.56855,UMIC,Latin America & Caribbean,Upper middle income,13,3736.651,3709.817,3597.262,3539.449,3477.335,3520.249,3318.98,3122.432,3089.901,2637.843,2301.731,2123.209,1883.733,1645.009,1337.223,963.414,634.684,364.685,152.346,35.706,4.118
Armenia,10343.17559,UMIC,Europe & Central Asia,Upper middle income,7,204.987,213.872,198.453,170.477,176.497,232.427,267.191,236.762,190.759,162.329,163.255,199.398,197.081,131.321,84.343,42.4,59.254,21.8,9.083,1.329,0.216
Aruba,0,HIC,Latin America & Caribbean,High income,13,6.08,5.677,6.8,7.21,7.565,7.415,5.424,5.82,6.74,7.531,8.142,9.063,7.706,6.048,4.302,2.656,1.631,0.715,0.203,0.034,0.004
Australia,51663.36509,HIC,East Asia & Pacific,High income,7,1669.707,1639.267,1610.574,1519.906,1594.568,1780.886,1875.461,1842.883,1628.711,1677.349,1558.324,1549.411,1418.526,1232.661,1083.379,762.997,522.945,329.05,156.557,42.382,4.337
Austria,55454.68929,HIC,Europe & Central Asia,High income,7,448.166,426.016,423.838,452.37,508.761,606.616,620.374,623.042,565.684,612.581,713.443,693.557,582.363,450.957,407.288,383.149,260.228,142.473,67.309,17.03,1.155
Azerbaijan,18044.13678,UMIC,Europe & Central Asia,Upper middle income,7,825.398,860.64,698.221,637.237,719.127,889.858,941.226,825.466,664.205,616.598,628.449,652.627,496.586,307.722,152.039,90.723,87.797,35.125,8.731,1.292,0.108
Bahamas,32087.72915,HIC,Latin America & Caribbean,High income,13,27.064,26.59,31.293,32.502,33.496,33.072,28.015,27.442,27.577,28.919,25.569,23.653,17.584,11.846,8.023,5.622,3.187,1.309,0.405,0.072,0.008
Bahrain,47303.04851,HIC,Middle East & North Africa,High income,12,108.054,110.081,92.954,88.901,91.684,214.986,293.461,214.272,148.286,108.435,81.177,59.054,45.12,21.452,10.958,6.86,3.957,1.315,0.509,0.06,0.007
Bangladesh,4371.754986,LMIC,South Asia,Lower middle income,14,14328.179,14644.431,15089.278,15585.144,15239.226,14525.807,13763.089,12748.544,11225.285,9425.985,8304.795,6700.908,4500.389,2796.448,2357.159,1738.653,1021.347,483.031,167.128,38.816,5.741
Barbados,18554.12928,HIC,Latin America & Caribbean,High income,13,15.12,15.498,17.547,18.965,18.769,18.809,18.101,19.023,18.804,20.263,19.635,20.301,18.54,15.033,11.889,8.265,6.109,3.77,2.017,0.709,0.204
Belarus,19994.80408,UMIC,Europe & Central Asia,Upper middle income,7,548.121,595.719,485.256,443.627,425.472,652.33,814.015,716.333,652.631,632.77,592.26,753.531,665.034,578.217,269.539,256.023,218.763,101.383,41.787,6.121,0.389
Belgium,51407.99834,HIC,Europe & Central Asia,High income,2,633.653,669.05,671.469,640.782,657.702,728.383,746.195,757.802,751.566,766.873,795.492,803.249,735.907,633.969,555.598,383.815,320.824,216.704,95.034,23.664,1.885
Belize,8648.0888,UMIC,Latin America & Caribbean,Upper middle income,13,39.446,38.66,37.997,39.853,39.341,36.478,32.103,27.612,23.055,20.903,17.481,14.329,10.45,7.364,5.019,3.292,2.263,1.271,0.607,0.085,0.012
Benin,2424.755845,LIC,Sub-Saharan Africa,Low income,15,1908.329,1688.621,1488.071,1291.415,1115.836,945.932,785.32,651.123,538.732,443.1,363.185,287.496,218.586,160.597,111.041,73.794,35.315,12.926,3.234,0.5,0.045
Bhutan,10167.93406,LMIC,South Asia,Lower middle income,14,63.855,61.973,66.263,69.73,74.308,79.006,75.718,62.963,50.275,39.329,33.389,25.625,21.303,15.605,12.754,9.48,5.681,2.856,1.116,0.317,0.066
Bolivia,7873.166243,LMIC,Latin America & Caribbean,Lower middle income,13,1185.499,1179.088,1161.012,1136.684,1065.189,974.345,870.945,768.154,667.885,570.458,480.562,403.03,336.191,279.127,225.44,166.501,106.906,60.027,26.533,7.941,1.512
Bosnia and Herzegovina,14623.67405,UMIC,Europe & Central Asia,Upper middle income,7,133.254,161.958,181.24,165.035,216.168,187.104,216.385,242,220.803,226.935,231.338,268.844,241.967,221.828,143.428,99.07,84.515,25.473,11.15,2.165,0.155
Botswana,18615.79334,UMIC,Sub-Saharan Africa,Upper middle income,15,271.775,267.23,246.528,225.505,203.74,198.769,187.256,178.033,149.075,111.94,80.357,66.226,59.085,45.166,29.546,19.012,8.378,3.156,0.769,0.077,0.002
Brazil,16096.40096,UMIC,Latin America & Caribbean,Upper middle income,13,14475.093,14601.817,14942.442,16218.004,17152.049,16952.594,17147.907,17328.855,15661.313,13800.693,12822.932,11598.27,9468.159,7428.703,5309.419,3492.132,2317.208,1175.24,510.827,134.602,21.15
Brunei Darussalam,80920.04868,HIC,East Asia & Pacific,High income,12,31.672,34.683,31.309,33.775,35.2,34.496,38.141,38.427,35.64,32.363,27.992,22.229,17.186,11.327,6.211,3.358,2.175,0.958,0.281,0.055,0.005
Bulgaria,21960.36994,UMIC,Europe & Central Asia,Upper middle income,7,312.73,336.652,370.613,315.268,299.467,390.45,480.839,476.752,534.664,527.321,476.55,468.154,467.298,455.294,424.6,285.768,191.839,101.275,28.222,4.51,0.179
Burkina Faso,1984.884306,LIC,Sub-Saharan Africa,Low income,15,3472.482,3079.706,2722.658,2306.885,1919.894,1588.171,1320.365,1107.668,893.047,694.086,553.579,423.911,316.842,222.035,148.021,86.216,36.133,9.873,1.579,0.126,0.001
Burundi,744.182072,LIC,Sub-Saharan Africa,Low income,15,2053.84,1818.607,1508.36,1216.932,1042.77,986.811,875.169,664.378,446.705,300.927,259.788,232.186,201.291,138.34,70.37,41.759,21.866,8.435,1.964,0.266,0.017
